"title","artist","link"
"Untitled (1997)","Rachel Clark","https://collections.ed.ac.uk/art/record/21875?highlight=*:*"
"Standing Male Nude (1939)","Betty M. Ferguson","https://collections.ed.ac.uk/art/record/21131?highlight=*:*"
"Portrait of a Woman Seated (1958)","Richard McNeill","https://collections.ed.ac.uk/art/record/20893?highlight=*:*"
"Red Faced (2014)","Daniel Hughes","https://collections.ed.ac.uk/art/record/47440?highlight=*:*"
"Unknown (1946)","Marjorie Wallace","https://collections.ed.ac.uk/art/record/50440?highlight=*:*"
"Church","Joanne Leonie Milne","https://collections.ed.ac.uk/art/record/21452?highlight=*:*"
"Two Standing Male Nudes (24 Jan 1951)","Norma G Reid","https://collections.ed.ac.uk/art/record/21393?highlight=*:*"
"Unknown (1952)","Maureen Baird","https://collections.ed.ac.uk/art/record/50623?highlight=*:*"
"Ecorche of Houdon","Unknown","https://collections.ed.ac.uk/art/record/20602?highlight=*:*"
"Saucer","Emma Gillies","https://collections.ed.ac.uk/art/record/53667?highlight=*:*"
"Male Nude at Wash Bowl (recto)","Unknown","https://collections.ed.ac.uk/art/record/22649?highlight=*:*"
"Portrait of a Woman (1939-1940)","James H Donaldson","https://collections.ed.ac.uk/art/record/21123?highlight=*:*"
"Standing Male Nude (1957)","Braso","https://collections.ed.ac.uk/art/record/21247?highlight=*:*"
"Portrait of a Young Man (1950)","Norman Nisbet","https://collections.ed.ac.uk/art/record/21074?highlight=*:*"
"Untitled (Unknown)","Unknown","https://collections.ed.ac.uk/art/record/21569?highlight=*:*"
"Unknown (1960)","Hugh Deans","https://collections.ed.ac.uk/art/record/53574?highlight=*:*"
"Untitled (1963)","L. Allan","https://collections.ed.ac.uk/art/record/22012?highlight=*:*"
"Copper Engraving (1949)","Alfred Hackney","https://collections.ed.ac.uk/art/record/21826?highlight=*:*"
"Unknown (1962)","Leslie Johns","https://collections.ed.ac.uk/art/record/50479?highlight=*:*"
"Teacup","Emma Gillies","https://collections.ed.ac.uk/art/record/53639?highlight=*:*"
"Portrait of a Woman (1939)","Betty M. Ferguson","https://collections.ed.ac.uk/art/record/21130?highlight=*:*"
"Serving Plate","Emma Gillies","https://collections.ed.ac.uk/art/record/53620?highlight=*:*"
"Twist (1989)","Dorothy Black","https://collections.ed.ac.uk/art/record/21849?highlight=*:*"
"Tangled Leaves","Susan Alexander","https://collections.ed.ac.uk/art/record/50401?highlight=*:*"
"Abstract","L Henniker","https://collections.ed.ac.uk/art/record/21455?highlight=*:*"
"Abstract with White Paper Strips","Alistair J. Magee","https://collections.ed.ac.uk/art/record/22540?highlight=*:*"
"Portrait of a Man (1957)","Norman E Kirkpatrick","https://collections.ed.ac.uk/art/record/21022?highlight=*:*"
"Portrait of a Man (1956)","J Gorman","https://collections.ed.ac.uk/art/record/21181?highlight=*:*"
"Smugglerius (1854)","William Pink","https://collections.ed.ac.uk/art/record/20600?highlight=*:*"
"Untitled (1981-1986)","Paul John Croft","https://collections.ed.ac.uk/art/record/21860?highlight=*:*"
"Jacobean fragment (Jacobean?)","Unknown","https://collections.ed.ac.uk/art/record/100011?highlight=*:*"
"Elders from South Frieze of the Parthenon (1836-1837)",NA,"https://collections.ed.ac.uk/art/record/20680?highlight=*:*"
"Unknown","Alistair Fairweather","https://collections.ed.ac.uk/art/record/50424?highlight=*:*"
"Full Length Nude Female (1949)","Edith A. Blight","https://collections.ed.ac.uk/art/record/22692?highlight=*:*"
"A Head (Unknown)","Unknown","https://collections.ed.ac.uk/art/record/21561?highlight=*:*"
"Student in the Studio","Leon Francesco Morrocco","https://collections.ed.ac.uk/art/record/21401?highlight=*:*"
"Standing Male Nude (21 May 1954)","Margaret Proudfoot","https://collections.ed.ac.uk/art/record/21251?highlight=*:*"
"Saucer","Emma Gillies","https://collections.ed.ac.uk/art/record/53657?highlight=*:*"
"Unknown","Edith Duke","https://collections.ed.ac.uk/art/record/53525?highlight=*:*"
"Portrait of a Man in a Suit (Mar 1963)","John Bellany","https://collections.ed.ac.uk/art/record/20776?highlight=*:*"
"Circus (1950)","Cecile E M Johnston","https://collections.ed.ac.uk/art/record/21027?highlight=*:*"
"Jacopo Nani (2019)","Brandon Logan","https://collections.ed.ac.uk/art/record/113742?highlight=*:*"
"Unknown (1958)","Andrew P. W. Conkie","https://collections.ed.ac.uk/art/record/50526?highlight=*:*"
"Interior Scene (1968)","Ian Paterson","https://collections.ed.ac.uk/art/record/21341?highlight=*:*"
"Untitled (2007)","Frea Buckler","https://collections.ed.ac.uk/art/record/99967?highlight=*:*"
"Architrave and lintel from Collegiate Church of St Gertrude, Nivelles, Belgium (Anglo-Saxon)","Unknown","https://collections.ed.ac.uk/art/record/20552?highlight=*:*"
"Untitled - Abstract Orange, Blue, and Brown Shapes (1963)","Anthony J Valentine","https://collections.ed.ac.uk/art/record/99442?highlight=*:*"
"Untitled (1963)","Madelene R Galloway","https://collections.ed.ac.uk/art/record/99821?highlight=*:*"
"Sixteen Boxes","John Mooney","https://collections.ed.ac.uk/art/record/21804?highlight=*:*"
"Unknown (1949)","James N. Hardie","https://collections.ed.ac.uk/art/record/50532?highlight=*:*"
"Untitled (1962)","Carl O Ekevall","https://collections.ed.ac.uk/art/record/99496?highlight=*:*"
"Two Men Standing","Charlene Anderson","https://collections.ed.ac.uk/art/record/21091?highlight=*:*"
"Study for Composition (1949)","Alistair Smart","https://collections.ed.ac.uk/art/record/50477?highlight=*:*"
"Portrait of a Woman in a Hat (1958)","Pat Calder","https://collections.ed.ac.uk/art/record/20959?highlight=*:*"
"Espresso Cup","Emma Gillies","https://collections.ed.ac.uk/art/record/53697?highlight=*:*"
"Riders from the West Frieze of the Parthenon (1836-1837)",NA,"https://collections.ed.ac.uk/art/record/20668?highlight=*:*"
"Unknown (1960)","Hugh Deans","https://collections.ed.ac.uk/art/record/53570?highlight=*:*"
"Portrait of a Man in a Suit (1958)","Ian Hodkinson","https://collections.ed.ac.uk/art/record/20881?highlight=*:*"
"Sitting Nude Woman (1967)","Jean B. M. Lothian","https://collections.ed.ac.uk/art/record/22626?highlight=*:*"
"Unknown","Duncan Currie","https://collections.ed.ac.uk/art/record/50389?highlight=*:*"
"Standing Female Nude (1959)","C Byron","https://collections.ed.ac.uk/art/record/20916?highlight=*:*"
"Sketch for Final Composition","Colin Brown","https://collections.ed.ac.uk/art/record/53566?highlight=*:*"
"Plate","Emma Gillies","https://collections.ed.ac.uk/art/record/53671?highlight=*:*"
"Abstract Still Life (Circa 1975)","Lindsay Moran","https://collections.ed.ac.uk/art/record/20761?highlight=*:*"
"Sedilia from Lincluden Collegiate Church (1912)","Joseph Cavagnari","https://collections.ed.ac.uk/art/record/20568?highlight=*:*"
"Robin (1953)","Diana M. Douglas-Hamilton","https://collections.ed.ac.uk/art/record/22741?highlight=*:*"
"Modesty vest","Unknown","https://collections.ed.ac.uk/art/record/102682?highlight=*:*"
"Green Square Abstract","Unknown","https://collections.ed.ac.uk/art/record/22625?highlight=*:*"
"Angel with Candelabrum (facing right)","Unknown","https://collections.ed.ac.uk/art/record/20542?highlight=*:*"
"Extrude (2013)","Charlotte Roseberry","https://collections.ed.ac.uk/art/record/21302?highlight=*:*"
"Abstract (1971)","John F. Mooney","https://collections.ed.ac.uk/art/record/22679?highlight=*:*"
"Portrait of a Woman (1957)","Unknown","https://collections.ed.ac.uk/art/record/21257?highlight=*:*"
"Portrait of a Man in Spectacles (1958)","Richard McNeill","https://collections.ed.ac.uk/art/record/20891?highlight=*:*"
"Untitled - Woman in Hat with Ribbon (1980)","Carolyn S Byres","https://collections.ed.ac.uk/art/record/99426?highlight=*:*"
"Four Abstract Panels","L Henniker","https://collections.ed.ac.uk/art/record/21460?highlight=*:*"
"Sleeping Female Nude (1950)","Alexander F Mitchell","https://collections.ed.ac.uk/art/record/21057?highlight=*:*"
"Abstract Female Nude (1965)","William Gillon","https://collections.ed.ac.uk/art/record/21312?highlight=*:*"
"Untitled (2003)","Sarah Jamieson","https://collections.ed.ac.uk/art/record/99925?highlight=*:*"
"Standing Female Nude","Unknown","https://collections.ed.ac.uk/art/record/22730?highlight=*:*"
"For Mayte Carrasco (Unknown)","Elspeth Lamb","https://collections.ed.ac.uk/art/record/21887?highlight=*:*"
"The Beach, Summer Composition (1958)","Robert M E Callender","https://collections.ed.ac.uk/art/record/22590?highlight=*:*"
"Standing Male Nude (1952)","David Michie","https://collections.ed.ac.uk/art/record/21387?highlight=*:*"
"Head of Lorenzo de' Medici (Circa 1836)","Aristodemo Costoli","https://collections.ed.ac.uk/art/record/20541?highlight=*:*"
"Portrait of a Young Man (Circa 1950)","John D Cowan","https://collections.ed.ac.uk/art/record/21336?highlight=*:*"
"The Thinker (1969)","Marko Krsmanovic","https://collections.ed.ac.uk/art/record/21647?highlight=*:*"
"Untitled (1962)","Ethel V Hope","https://collections.ed.ac.uk/art/record/99836?highlight=*:*"
"November III (St Andrews) (1991)","Wilhelmina Barns-Graham CBE HRSA HRSW","https://collections.ed.ac.uk/art/record/54749?highlight=*:*"
"Winter Fence (1977)","Alfons Bytautas","https://collections.ed.ac.uk/art/record/21549?highlight=*:*"
"untitled (1984)","David Hosie","https://collections.ed.ac.uk/art/record/112340?highlight=*:*"
"Unknown (Unknown)","Unknown","https://collections.ed.ac.uk/art/record/21866?highlight=*:*"
"Untitled (1967)","Ian Roy","https://collections.ed.ac.uk/art/record/21757?highlight=*:*"
"Whitework baby's bonnet","Unknown","https://collections.ed.ac.uk/art/record/102708?highlight=*:*"
"Portrait of Seated Woman (25 Jan 1966)","George Donald","https://collections.ed.ac.uk/art/record/21175?highlight=*:*"
"Abstract with Blue Stripes (quadriptych) (1969)","Ian G. Robertson","https://collections.ed.ac.uk/art/record/22570?highlight=*:*"
"Untitled - Portrait of a Nude Female (1972)","Lindsay R S Gordon","https://collections.ed.ac.uk/art/record/99421?highlight=*:*"
"Bridge at Night","H. Livingstone","https://collections.ed.ac.uk/art/record/22535?highlight=*:*"
"Untitled (1963)","Carol Handyside","https://collections.ed.ac.uk/art/record/99842?highlight=*:*"
"Anti-Matter (2013)","Marissa Stoffer","https://collections.ed.ac.uk/art/record/47441?highlight=*:*"
"Untitled - 1/2 hr Life Drawing of Man in a Blue Costume (1963)","Isobel T Johnstone","https://collections.ed.ac.uk/art/record/99248?highlight=*:*"
"Portrait of a Woman (1950)","Zygmunt Bukowski","https://collections.ed.ac.uk/art/record/21368?highlight=*:*"
"Untitled (1997)","Sena K.","https://collections.ed.ac.uk/art/record/21923?highlight=*:*"
"Untitled - Kings and Queens (1969)","Michael T R B Turnbull","https://collections.ed.ac.uk/art/record/99446?highlight=*:*"
"Lit Doorway","C. K.?","https://collections.ed.ac.uk/art/record/22541?highlight=*:*"
"Seated Female Nude (1966-1967)","George Donald","https://collections.ed.ac.uk/art/record/21094?highlight=*:*"
"Untitled (2014)","Layla Kerley","https://collections.ed.ac.uk/art/record/47454?highlight=*:*"
"Food Print (2006)","Tomoko Kawanaka","https://collections.ed.ac.uk/art/record/99862?highlight=*:*"
"The Judgement of Paris (1959)","Kenneth Dingwall","https://collections.ed.ac.uk/art/record/22713?highlight=*:*"
"Suit of Armour (Circa 1964)","Kirkland Main","https://collections.ed.ac.uk/art/record/21170?highlight=*:*"
"Teapot Lid","Emma Gillies","https://collections.ed.ac.uk/art/record/53745?highlight=*:*"
"Oscillation Three (2015)","Mark Osborne","https://collections.ed.ac.uk/art/record/53776?highlight=*:*"
"Unknown","J Hamilton Glass","https://collections.ed.ac.uk/art/record/50459?highlight=*:*"
"Train Station Interior","Eric Urquhart","https://collections.ed.ac.uk/art/record/21507?highlight=*:*"
"Finial (2018)","Jack Handscombe","https://collections.ed.ac.uk/art/record/102754?highlight=*:*"
"Unknown","Unknown","https://collections.ed.ac.uk/art/record/53512?highlight=*:*"
"Standing Male Nude (Circa 1938)","M E James","https://collections.ed.ac.uk/art/record/21028?highlight=*:*"
"Drawing of a Seated Woman (1956-1959)","Jacqueline A N Stieger","https://collections.ed.ac.uk/art/record/20819?highlight=*:*"
"Unknown","Stuart T. MacKenzie","https://collections.ed.ac.uk/art/record/53561?highlight=*:*"
"Winged Victory of Samothrace (Post 1879)","Musée Royal du Louvre","https://collections.ed.ac.uk/art/record/20585?highlight=*:*"
"Man in Spanish Costume (1955)","Alexander S Campbell","https://collections.ed.ac.uk/art/record/21317?highlight=*:*"
"Portrait of a Boy (1950)","Cecile E. M. Johnstone","https://collections.ed.ac.uk/art/record/22667?highlight=*:*"
"Untitled","Roy M. W. Cameron","https://collections.ed.ac.uk/art/record/112348?highlight=*:*"
"Seated Male Nude (1959)","Denness Morton","https://collections.ed.ac.uk/art/record/21079?highlight=*:*"
"Portrait of Josephine Baker (1997)","Eduardo Luigi Paolozzi KBE, RA","https://collections.ed.ac.uk/art/record/50366?highlight=*:*"
"Untitled (Unknown)","Unknown","https://collections.ed.ac.uk/art/record/21565?highlight=*:*"
"Portrait of a Man","Claudia Petretti","https://collections.ed.ac.uk/art/record/21441?highlight=*:*"
"Unitled (Unknown)","S J Dooley","https://collections.ed.ac.uk/art/record/99909?highlight=*:*"
"Reclining Female Nude (1952)","John Houston","https://collections.ed.ac.uk/art/record/21352?highlight=*:*"
"Putto with a fish","Unknown","https://collections.ed.ac.uk/art/record/20540?highlight=*:*"
"Untitled - Bearded Man at the Table (20 Oct 1962)","John C Mark Jones","https://collections.ed.ac.uk/art/record/99258?highlight=*:*"
"Two Boxes on Pink (Circa 1968)","Maureen Marshall","https://collections.ed.ac.uk/art/record/22563?highlight=*:*"
"Untitled","Sara Gough","https://collections.ed.ac.uk/art/record/112504?highlight=*:*"
"Unknown (1948)","Mabel D. Lawford","https://collections.ed.ac.uk/art/record/50537?highlight=*:*"
"Cow","Emma Gillies","https://collections.ed.ac.uk/art/record/53752?highlight=*:*"
"Untitled - Abstract Blue and Red Shapes (1989)","Joanne Leonie Milne","https://collections.ed.ac.uk/art/record/99387?highlight=*:*"
"Queen Anne chair cover (1700-1750)","Unknown","https://collections.ed.ac.uk/art/record/102711?highlight=*:*"
"Performing Labour in an Industrial Setting II (2020)","Aisling Ward","https://collections.ed.ac.uk/art/record/113776?highlight=*:*"
"Unknown","Ruari MacLeod","https://collections.ed.ac.uk/art/record/50437?highlight=*:*"
"Riders from South Frieze of the Parthenon (1836-1837)",NA,"https://collections.ed.ac.uk/art/record/20718?highlight=*:*"
"Untitled (1967)","Rosemary Seaton","https://collections.ed.ac.uk/art/record/22475?highlight=*:*"
"Unknown (1960)","Hugh Deans","https://collections.ed.ac.uk/art/record/53573?highlight=*:*"
"Four Portraits of a Bearded Man (1955)","Peter McGinn","https://collections.ed.ac.uk/art/record/21088?highlight=*:*"
"Curtain (1961)","Unknown","https://collections.ed.ac.uk/art/record/100008?highlight=*:*"
"Unknown (1950)","Valerie A. Cockburn (Gage)","https://collections.ed.ac.uk/art/record/50552?highlight=*:*"
"Unknown (1960)","Jean I. Beattie","https://collections.ed.ac.uk/art/record/50615?highlight=*:*"
"Portrait of a Young Man (1951)","James P W Syme","https://collections.ed.ac.uk/art/record/21240?highlight=*:*"
"Dorothy Allsop sampler (1936)","Unknown","https://collections.ed.ac.uk/art/record/102697?highlight=*:*"
"Flowers Behind the Door (1953)","Bernard Reder","https://collections.ed.ac.uk/art/record/21658?highlight=*:*"
"Portrait of Andrew Gorrie (1964)","Joyce M Cumming","https://collections.ed.ac.uk/art/record/21347?highlight=*:*"
"St Pauls at Night (1950)","Alexander Cree","https://collections.ed.ac.uk/art/record/50546?highlight=*:*"
"Untitled","Bill Breckervidge","https://collections.ed.ac.uk/art/record/21458?highlight=*:*"
"Portrait of Woman with Hand on her Head (1950)","Ailsa Robertson","https://collections.ed.ac.uk/art/record/20803?highlight=*:*"
"Untitled (1962)","Robert S. Crozier","https://collections.ed.ac.uk/art/record/112311?highlight=*:*"
"Replica cast (brown) of Partheon slab PF045 US09","Unknown","https://collections.ed.ac.uk/art/record/20658?highlight=*:*"
"Untitled (1966)","Helen G. S Forde","https://collections.ed.ac.uk/art/record/99817?highlight=*:*"
"Reclining Nude with Jacket (1967)","Christine Malcolm","https://collections.ed.ac.uk/art/record/21266?highlight=*:*"
"1. Meccarama (Unknown)","Anthony Benjamin","https://collections.ed.ac.uk/art/record/21667?highlight=*:*"
"Unknown (31 May 1960)","Rhona L. Barclay","https://collections.ed.ac.uk/art/record/50618?highlight=*:*"
"Reclining Female Nude (1949-1950)","Mollie E N Langlands","https://collections.ed.ac.uk/art/record/21019?highlight=*:*"
"Untitled (1980)","Unknown","https://collections.ed.ac.uk/art/record/99823?highlight=*:*"
"Men’s smock (19th Century)","Unknown","https://collections.ed.ac.uk/art/record/100012?highlight=*:*"
"Untitled (1989)","Claire E. Banks","https://collections.ed.ac.uk/art/record/22555?highlight=*:*"
"Untitled (1988)","Jodie Pear","https://collections.ed.ac.uk/art/record/21935?highlight=*:*"
"Untitled","Unknown","https://collections.ed.ac.uk/art/record/99860?highlight=*:*"
"Untitled (1964)","James Goodall","https://collections.ed.ac.uk/art/record/99847?highlight=*:*"
"Untitled (1987)","Susan Veitch","https://collections.ed.ac.uk/art/record/21898?highlight=*:*"
"Still Life - Fish (1961)","Thora Clyne","https://collections.ed.ac.uk/art/record/22640?highlight=*:*"
"Castor and Pollux (1835)","Sarti","https://collections.ed.ac.uk/art/record/20593?highlight=*:*"
"Untitled (Unknown)","Dilys R. Lovell","https://collections.ed.ac.uk/art/record/21574?highlight=*:*"
"Patchwork quilt (1700-1899)","Unknown","https://collections.ed.ac.uk/art/record/102731?highlight=*:*"
"Seated Man seen from behind (Circa 1955)","Peter McGinn","https://collections.ed.ac.uk/art/record/21089?highlight=*:*"
"Man with Concrete Jungle Record","Garry Campbell","https://collections.ed.ac.uk/art/record/21426?highlight=*:*"
"Untitled (1997)","Sera K","https://collections.ed.ac.uk/art/record/21779?highlight=*:*"
"Untitled (1960)","Kathleen Russell","https://collections.ed.ac.uk/art/record/99519?highlight=*:*"
"Printed Fabric","Robin Jones","https://collections.ed.ac.uk/art/record/22538?highlight=*:*"
"Garden of Eden (1987)","Unknown","https://collections.ed.ac.uk/art/record/21608?highlight=*:*"
"Standing Female Nude (1957)","Peter Coyle","https://collections.ed.ac.uk/art/record/20969?highlight=*:*"
"Gem cabinet 3 (of 6) containing 43 medallions","Unknown","https://collections.ed.ac.uk/art/record/20617?highlight=*:*"
"Portrait of a Man (1960)","John Johnstone","https://collections.ed.ac.uk/art/record/21357?highlight=*:*"
"Landscape (Circa 1953)","Trevor Stubley","https://collections.ed.ac.uk/art/record/21413?highlight=*:*"
"Untitled (Unknown)","Anna Chapman","https://collections.ed.ac.uk/art/record/21603?highlight=*:*"
"Untitled (2002)","Zillah Green","https://collections.ed.ac.uk/art/record/99951?highlight=*:*"
"Crazily Paved (Unknown)","John Brown","https://collections.ed.ac.uk/art/record/21661?highlight=*:*"
"Walking the Wall (Unknown)","Victoria C F Bernie","https://collections.ed.ac.uk/art/record/21906?highlight=*:*"
"Unknown (1947)","Sheila Turnbull","https://collections.ed.ac.uk/art/record/50454?highlight=*:*"
"Untitled (1962)","Leslie Johns","https://collections.ed.ac.uk/art/record/21767?highlight=*:*"
"Horse and Cart (1956)","Moira E. Brown","https://collections.ed.ac.uk/art/record/22712?highlight=*:*"
"Untitled (2002)","Kirsty MacDonald","https://collections.ed.ac.uk/art/record/99949?highlight=*:*"
"Still Life, Oil Paints and Pots (1949)","Zygmunt Bukowski","https://collections.ed.ac.uk/art/record/22732?highlight=*:*"
"Drawing of a Woman (1958)","E McCallum","https://collections.ed.ac.uk/art/record/20960?highlight=*:*"
"Swirlings (1989)","Dorothy Black","https://collections.ed.ac.uk/art/record/21972?highlight=*:*"
"Male Model with Towel (1950)","Alexander Cree","https://collections.ed.ac.uk/art/record/22661?highlight=*:*"
"Untitled (Dec 1972)","Alison Duncan","https://collections.ed.ac.uk/art/record/21581?highlight=*:*"
"Untitled (1972)","Lin Hunter","https://collections.ed.ac.uk/art/record/21834?highlight=*:*"
"Riders from South Frieze of the Parthenon (1836-1837)",NA,"https://collections.ed.ac.uk/art/record/20727?highlight=*:*"
"Seated Male Nude (1959)","George Mackintosh","https://collections.ed.ac.uk/art/record/20884?highlight=*:*"
"Unknown, abstract (2004)","Amy Marshall","https://collections.ed.ac.uk/art/record/99486?highlight=*:*"
"Portrait of a Seated Man (1954)","Edith Fraser","https://collections.ed.ac.uk/art/record/21208?highlight=*:*"
"An Táin (1964)","John B Vallely","https://collections.ed.ac.uk/art/record/21005?highlight=*:*"
"untitled","Joyce M Cumming","https://collections.ed.ac.uk/art/record/112357?highlight=*:*"
"Landscape (Circa 1950)","Marion M Cooper","https://collections.ed.ac.uk/art/record/21389?highlight=*:*"
"Drawing of Dominico Mancini (1946)","Dorothy M. Peach","https://collections.ed.ac.uk/art/record/21740?highlight=*:*"
"Portrait of a Seated Woman (1950)","Alexander F Mitchell","https://collections.ed.ac.uk/art/record/21053?highlight=*:*"
"Untitled","Bennett","https://collections.ed.ac.uk/art/record/111042?highlight=*:*"
"Seated Female Nude (1954)","Leslie Drummond","https://collections.ed.ac.uk/art/record/21259?highlight=*:*"
"9 European Cafes: no 5: La Couple (Circa 1977)","Timothy Morrison","https://collections.ed.ac.uk/art/record/22618?highlight=*:*"
"Untitled (1967)","William G.H. Fulton","https://collections.ed.ac.uk/art/record/99820?highlight=*:*"
"Untitled - Two Boys in Patterned Shirts (1985-1986)","Dorothy Black","https://collections.ed.ac.uk/art/record/99467?highlight=*:*"
"Portrait of a Woman (1960)","Mary Shanks","https://collections.ed.ac.uk/art/record/20947?highlight=*:*"
"Rock R Coast, Hethleen Russell, Bournemouth (1966)","Kathleen Russell","https://collections.ed.ac.uk/art/record/99523?highlight=*:*"
"Untitled (2007)","Matt Carter","https://collections.ed.ac.uk/art/record/99975?highlight=*:*"
"Hill Fence (1976)","Aitons Bytautus","https://collections.ed.ac.uk/art/record/50385?highlight=*:*"
"Unknown (Unknown)","Unknown","https://collections.ed.ac.uk/art/record/21675?highlight=*:*"
"Portrait of a Man (Circa 1952)","John Houston","https://collections.ed.ac.uk/art/record/21351?highlight=*:*"
"Saucer","Emma Gillies","https://collections.ed.ac.uk/art/record/53663?highlight=*:*"
"Untitled - City Scene at Night (1964-1965)","William Gillon","https://collections.ed.ac.uk/art/record/99483?highlight=*:*"
"Untitled (Unknown)","J.","https://collections.ed.ac.uk/art/record/21953?highlight=*:*"
"Untitled - Nude Female Standing (1964)","Eleanor Maiden","https://collections.ed.ac.uk/art/record/99360?highlight=*:*"
"Teacup","Emma Gillies","https://collections.ed.ac.uk/art/record/53655?highlight=*:*"
"Acteon (1838)","Sarti","https://collections.ed.ac.uk/art/record/20582?highlight=*:*"
"Espresso Saucer","Emma Gillies","https://collections.ed.ac.uk/art/record/53685?highlight=*:*"
"Couplings, Paper bags (2017)","Tessa Lynch","https://collections.ed.ac.uk/art/record/102737?highlight=*:*"
"Rough study of female seated figure with head tilted back (1960)","Jean Cochrane","https://collections.ed.ac.uk/art/record/53521?highlight=*:*"
"Untitled","Peter Pretsell","https://collections.ed.ac.uk/art/record/99795?highlight=*:*"
"Portrait of a Woman","Samuel John Peploe","https://collections.ed.ac.uk/art/record/53886?highlight=*:*"
"Book holder","Winsome Douglass","https://collections.ed.ac.uk/art/record/113838?highlight=*:*"
"Untitled (1983)","Robert Rivers","https://collections.ed.ac.uk/art/record/99802?highlight=*:*"
"Portrait of a Woman (Carole Danielson) (1964)","Kirkland Main","https://collections.ed.ac.uk/art/record/21168?highlight=*:*"
"Untitled (Unknown)","Unknown","https://collections.ed.ac.uk/art/record/21556?highlight=*:*"
"Untitled (Unknown)","Unknown","https://collections.ed.ac.uk/art/record/21984?highlight=*:*"
"Unknown","Valerie Samuel","https://collections.ed.ac.uk/art/record/53535?highlight=*:*"
"Nude in Veil","Anna Millar","https://collections.ed.ac.uk/art/record/22637?highlight=*:*"
"Standing Female Nude (1952)","Douglas Kerr","https://collections.ed.ac.uk/art/record/21224?highlight=*:*"
"Untitled (2006)","Greggory Bradford","https://collections.ed.ac.uk/art/record/99877?highlight=*:*"
"Untitled (Unknown)","Unknown","https://collections.ed.ac.uk/art/record/21917?highlight=*:*"
"Untitled (Unknown)","Unknown","https://collections.ed.ac.uk/art/record/99921?highlight=*:*"
"Step 4 (2013)","Maria Hadam","https://collections.ed.ac.uk/art/record/21309?highlight=*:*"
"Thurs 2nd Sept '82 Along from Rialto (02 Sep 1982)","Moira A Edmondston","https://collections.ed.ac.uk/art/record/99431?highlight=*:*"
"Portrait of a Man","A Sinclair","https://collections.ed.ac.uk/art/record/21483?highlight=*:*"
"Untitled (Unknown)","Unknown","https://collections.ed.ac.uk/art/record/21816?highlight=*:*"
"Untitled","Dr Ainslie Yule","https://collections.ed.ac.uk/art/record/99532?highlight=*:*"
"Kneeling Male Nude (1953)","Peter Brady","https://collections.ed.ac.uk/art/record/20967?highlight=*:*"
"Untitled - Portrait of a Girl in a Hat (05 Dec 1966)","Catherine Robin","https://collections.ed.ac.uk/art/record/99411?highlight=*:*"
"Unknown (1950)","Zygmunt Bukowski","https://collections.ed.ac.uk/art/record/53556?highlight=*:*"
"Small black figure with long wavy hair","Unknown","https://collections.ed.ac.uk/art/record/20546?highlight=*:*"
"Chinese sleeveband.figures","Unknown","https://collections.ed.ac.uk/art/record/102700?highlight=*:*"
"Untitled (Unknown)","Unknown","https://collections.ed.ac.uk/art/record/21853?highlight=*:*"
"Running goddess from east pediment of the Parthenon",NA,"https://collections.ed.ac.uk/art/record/20636?highlight=*:*"
"Men in a Rugby Changing Room (Circa 1953)","Trevor Stubley","https://collections.ed.ac.uk/art/record/21411?highlight=*:*"
"Untitled (Mar 1963)","John Bellany","https://collections.ed.ac.uk/art/record/21535?highlight=*:*"
"Unknown (1950)","Francis Curran","https://collections.ed.ac.uk/art/record/50506?highlight=*:*"
"IV (1963)","John Bellany","https://collections.ed.ac.uk/art/record/20745?highlight=*:*"
"Three Views of a Standing Male Nude (1948)","John Thompson","https://collections.ed.ac.uk/art/record/20844?highlight=*:*"
"Life Float and Boat","Ashley McCormick","https://collections.ed.ac.uk/art/record/21478?highlight=*:*"
"Unknown (1964)","McKinnell","https://collections.ed.ac.uk/art/record/50478?highlight=*:*"
"Untitled - Life Drawing of Woman Reclining on a Bed (1967)","Isobel T Johnstone","https://collections.ed.ac.uk/art/record/99249?highlight=*:*"
"Memory and Process (2015)","Callum Watson","https://collections.ed.ac.uk/art/record/53779?highlight=*:*"
"Unknown (1962)","Carol Handyside","https://collections.ed.ac.uk/art/record/50480?highlight=*:*"
"Scaffolding - 'Formasons Stone Renovators Edinburgh'","Ian Johnstone","https://collections.ed.ac.uk/art/record/21506?highlight=*:*"
"The Misadventure (1989)","John Brown","https://collections.ed.ac.uk/art/record/21575?highlight=*:*"
"Brazie (1969)","Eduardo Luigi Paolozzi KBE, RA","https://collections.ed.ac.uk/art/record/21701?highlight=*:*"
"Untitled - Two Sitting Nude Women (1983-1984)","Robert Maclaurin","https://collections.ed.ac.uk/art/record/99427?highlight=*:*"
"Unknown (1968)","Gillian Mather","https://collections.ed.ac.uk/art/record/53589?highlight=*:*"
"Unknown (1949)","Douglas Baxter","https://collections.ed.ac.uk/art/record/50577?highlight=*:*"
"Placa del Sol (1991)","Caroline Conway","https://collections.ed.ac.uk/art/record/21839?highlight=*:*"
"Seated Elderly Couple (Apr 1963)","John Bellany","https://collections.ed.ac.uk/art/record/20767?highlight=*:*"
"Abstract","V. Constant","https://collections.ed.ac.uk/art/record/111443?highlight=*:*"
"Untitled - Sitting Nude Woman (1968)","Alastair Burns","https://collections.ed.ac.uk/art/record/99475?highlight=*:*"
