"title","artist","link"
"North Berwick from Belhaven Bay (Unknown)","Catherine Orbach","https://collections.ed.ac.uk/art/record/21792?highlight=*:*"
"Fish in a Whirlpool (1953)","Hans Jelinek","https://collections.ed.ac.uk/art/record/21653?highlight=*:*"
"Untitled (Unknown)","Donald Clark","https://collections.ed.ac.uk/art/record/21636?highlight=*:*"
"Espresso Saucer","Emma Gillies","https://collections.ed.ac.uk/art/record/53682?highlight=*:*"
"Lucius Junius Brutus",NA,"https://collections.ed.ac.uk/art/record/20561?highlight=*:*"
"Sean Connery as a Life Model (1952)","Alastair Fairweather","https://collections.ed.ac.uk/art/record/22598?highlight=*:*"
"Man with Spring Plants (1953)","Leonard Baskin","https://collections.ed.ac.uk/art/record/21687?highlight=*:*"
"South Frieze of the Parthenon Frieze (1836-1837)",NA,"https://collections.ed.ac.uk/art/record/20694?highlight=*:*"
"Unknown (1960)","Alan M. Alexander","https://collections.ed.ac.uk/art/record/50595?highlight=*:*"
"Landscape (Circa 1988)","Arlene Isbister","https://collections.ed.ac.uk/art/record/22604?highlight=*:*"
"Seated Female Nude (1953)","Laura Nye","https://collections.ed.ac.uk/art/record/21117?highlight=*:*"
"Beginning (Unknown)","Unknown","https://collections.ed.ac.uk/art/record/21926?highlight=*:*"
"Portrait of a Man (1959)","Jean I. Beattie","https://collections.ed.ac.uk/art/record/20919?highlight=*:*"
"Unknown (1949)","Betty Elston","https://collections.ed.ac.uk/art/record/50583?highlight=*:*"
"Untitled","Anne Waterhouse","https://collections.ed.ac.uk/art/record/112342?highlight=*:*"
"Untitled (1986)","Sylvia Cameron","https://collections.ed.ac.uk/art/record/21716?highlight=*:*"
"Standing Woman (1965)","William Gillon","https://collections.ed.ac.uk/art/record/21315?highlight=*:*"
"Standing Male Nude (Dec 1951)","M McKeown","https://collections.ed.ac.uk/art/record/21225?highlight=*:*"
"Espresso Saucer","Emma Gillies","https://collections.ed.ac.uk/art/record/53684?highlight=*:*"
"Bloomers","Unknown","https://collections.ed.ac.uk/art/record/102663?highlight=*:*"
"Portrait of a Man (1951)","James Wilson","https://collections.ed.ac.uk/art/record/21226?highlight=*:*"
"Untitled (2007)","Rob Hunter","https://collections.ed.ac.uk/art/record/99893?highlight=*:*"
"Woman (1966)","James H. Fairgrieve","https://collections.ed.ac.uk/art/record/22617?highlight=*:*"
"Portrait of a Woman (1957)","Colin Turner","https://collections.ed.ac.uk/art/record/21144?highlight=*:*"
"Untitled - Portrait of a Girl (1963)","L. Allan","https://collections.ed.ac.uk/art/record/99383?highlight=*:*"
"Unknown","Alexander S Campbell","https://collections.ed.ac.uk/art/record/50632?highlight=*:*"
"Standing Female Nude (1954)","Margaret Proudfoot","https://collections.ed.ac.uk/art/record/21246?highlight=*:*"
"Saucer","Emma Gillies","https://collections.ed.ac.uk/art/record/53658?highlight=*:*"
"From Rialto Venezia (10 Mar 1948)","Marjorie Wallace","https://collections.ed.ac.uk/art/record/20854?highlight=*:*"
"Untitled (1966)","Maureen Dawson","https://collections.ed.ac.uk/art/record/99845?highlight=*:*"
"Untitled","Kirkland Main","https://collections.ed.ac.uk/art/record/99987?highlight=*:*"
"Udder Hand (2016)","Eden Hawkins","https://collections.ed.ac.uk/art/record/99265?highlight=*:*"
"Untited (1986)","Paul Furneaux","https://collections.ed.ac.uk/art/record/21611?highlight=*:*"
"Portrait of a Man (1956)","Lawrence F. Baxter","https://collections.ed.ac.uk/art/record/21182?highlight=*:*"
"Coffee Pot","Emma Gillies","https://collections.ed.ac.uk/art/record/53691?highlight=*:*"
"Standing Male Nude (1959)","Kenneth Dingwall","https://collections.ed.ac.uk/art/record/21332?highlight=*:*"
"Untitled (1968)","Michael Jannarelli","https://collections.ed.ac.uk/art/record/22505?highlight=*:*"
"Untitled (Unknown)","Sabine R","https://collections.ed.ac.uk/art/record/21640?highlight=*:*"
"Untitled (1969)","Moira Johnson","https://collections.ed.ac.uk/art/record/22021?highlight=*:*"
"Untitled (Unknown)","Unknown","https://collections.ed.ac.uk/art/record/21862?highlight=*:*"
"Small Landscape (1946)","Dorothy M. Peach","https://collections.ed.ac.uk/art/record/21069?highlight=*:*"
"Still Life with Goblets (1959)","Alan M. Alexander","https://collections.ed.ac.uk/art/record/22743?highlight=*:*"
"Blackwork' sampler. Miss Waddel","Miss Waddell","https://collections.ed.ac.uk/art/record/102670?highlight=*:*"
"Untitled (Unknown)","Renny Tait","https://collections.ed.ac.uk/art/record/21723?highlight=*:*"
"Crying (2014)","Rachel Hill","https://collections.ed.ac.uk/art/record/47448?highlight=*:*"
"Kneeling Female Nude (1957)","Andrew Conkie","https://collections.ed.ac.uk/art/record/20925?highlight=*:*"
"Standing Male Nude (1953)","James Martin","https://collections.ed.ac.uk/art/record/20952?highlight=*:*"
"Unknown (1946)","Alan Lefley","https://collections.ed.ac.uk/art/record/50486?highlight=*:*"
"Untitled - Figure Drawing of a Man on a Stool (1964)","Gordon Bryce","https://collections.ed.ac.uk/art/record/99326?highlight=*:*"
"Free Fall (1985)","Robert Adam","https://collections.ed.ac.uk/art/record/21593?highlight=*:*"
"Parthenon Frieze in Miniature","John Henning","https://collections.ed.ac.uk/art/record/20584?highlight=*:*"
"Portrait of a Man (1959)","Alan Kemp","https://collections.ed.ac.uk/art/record/20902?highlight=*:*"
"Standing Woman (1950)","John Parnell","https://collections.ed.ac.uk/art/record/21067?highlight=*:*"
"(2003)","Unknown","https://collections.ed.ac.uk/art/record/99930?highlight=*:*"
"Large Head (Circa 1983)","Gwen W. Hardie","https://collections.ed.ac.uk/art/record/22622?highlight=*:*"
